median_income,house_age,average_rooms,population,latitude,longitude,median_house_value
8.3,41,6.9,322,37.88,-122.23,452600
8.1,21,6.2,2401,37.86,-122.22,358500
7.2,52,8.3,496,37.85,-122.24,352100
5.6,52,5.8,558,37.85,-122.25,341300
3.8,52,6.3,565,37.85,-122.25,342200
4.0,52,4.8,413,37.85,-122.25,269700
3.7,52,4.9,1094,37.84,-122.25,299200
3.1,52,4.8,1157,37.84,-122.25,241400
2.1,42,4.3,1206,37.84,-122.26,226700
3.7,52,6.0,1551,37.84,-122.25,261100
3.2,52,5.5,910,37.85,-122.26,281500
3.3,52,5.4,1504,37.85,-122.26,241800
2.7,52,5.3,1098,37.85,-122.26,213500
2.6,52,4.7,345,37.84,-122.26,191300
1.9,52,4.2,1212,37.85,-122.26,159200
2.1,50,4.0,697,37.85,-122.26,140000
2.5,52,4.9,793,37.85,-122.27,152500
2.0,52,4.7,648,37.85,-122.27,155500
1.8,50,4.3,990,37.84,-122.26,158700
2.3,52,4.5,690,37.85,-122.27,162900
