air_temp,process_temp,rotational_speed,torque,tool_wear,machine_failed
298.1,308.6,1551,42.8,0,0
298.2,308.7,1408,46.3,3,0
298.1,308.5,1498,49.4,5,0
298.2,308.6,1433,39.5,7,0
298.2,308.7,1408,40.0,9,0
298.1,308.6,1425,41.9,11,0
298.1,308.6,1558,42.4,14,0
298.1,308.6,1527,40.2,16,0
298.3,308.7,1667,28.6,18,0
298.5,309.0,1741,28.0,21,0
301.8,310.6,1180,67.9,187,1
302.1,311.0,1200,65.4,194,1
300.8,310.1,1255,62.8,200,1
303.2,312.0,1100,70.1,212,1
299.1,308.1,1150,69.0,220,1
301.0,309.8,1210,66.5,230,1
302.5,311.4,1090,72.2,240,1
300.4,309.4,1175,68.3,245,1
303.0,312.1,1050,75.0,250,1
301.7,310.9,1120,71.5,253,1
