fixed_acidity,volatile_acidity,citric_acid,residual_sugar,alcohol,quality
7.4,0.70,0.00,1.9,9.4,5
7.8,0.88,0.00,2.6,9.8,5
7.8,0.76,0.04,2.3,9.8,5
11.2,0.28,0.56,1.9,9.8,6
7.4,0.70,0.00,1.9,9.4,5
7.4,0.66,0.00,1.8,9.4,5
7.9,0.60,0.06,1.6,9.4,5
7.3,0.65,0.00,1.2,10.0,7
7.8,0.58,0.02,2.0,9.5,7
7.5,0.50,0.36,6.1,10.5,7
6.7,0.58,0.08,1.8,9.2,5
7.5,0.50,0.36,6.1,10.5,7
5.6,0.615,0.00,1.6,9.9,5
7.8,0.61,0.29,1.6,9.1,5
8.9,0.62,0.18,3.8,9.2,5
8.9,0.62,0.19,3.9,9.0,5
8.5,0.28,0.56,1.8,10.5,7
8.1,0.38,0.28,2.1,11.1,6
7.2,0.23,0.32,8.5,12.0,8
6.8,0.26,0.42,1.7,11.8,8
